product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,revenue,avg_comp_price,price_difference,price_ratio,freight_percentage,revenue_per_customer,price_group
bed1,bed_bath_table,01-05-2017,1,45.95,15.1,45.95,39,161,2,350,4.0,57,23,8,1,5,2017,10.26739356,3800,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,45.95,116.95,-70.99999999999999,0.3929029499786234,32.86180631120783,0.806140350877193,"(19.556, 88.72]"
bed1,bed_bath_table,01-06-2017,3,137.85,12.93333333,45.95,39,161,2,350,4.0,61,22,8,1,6,2017,6.503115265,3800,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,137.85000000000002,114.95,-68.99999999999999,0.3997390169638974,28.14653608269858,2.259836065573771,"(19.556, 88.72]"
bed1,bed_bath_table,01-07-2017,6,275.7,14.84,45.95,39,161,2,350,4.0,123,21,10,1,7,2017,12.07165109,3800,89.9,3.9,13.99383333,205.0,4.4,22.1959322,45.95,4.0,14.84,45.95,275.70000000000005,113.61666666666666,-67.66666666666666,0.4044301012175444,32.29597388465724,2.2414634146341466,"(19.556, 88.72]"
bed1,bed_bath_table,01-08-2017,4,183.8,14.2875,45.95,39,161,2,350,4.0,90,23,8,1,8,2017,9.293873313,3800,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4.0,14.2875,45.95,183.8,111.78660130000002,-65.83660130000001,0.4110510514286473,31.09357997823721,2.042222222222222,"(19.556, 88.72]"
bed1,bed_bath_table,01-09-2017,2,91.9,15.1,45.95,39,161,2,350,4.0,54,21,9,1,9,2017,5.555555556,3800,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4.0,15.1,45.95,91.9,99.7495699,-53.7995699,0.4606536153094732,32.86180631120783,1.701851851851852,"(19.556, 88.72]"
bed1,bed_bath_table,01-10-2017,3,137.85,15.1,45.95,39,161,2,350,4.0,50,22,9,2,10,2017,8.333333333,3800,89.9,3.9,21.57214286,45.95,4.0,15.1,45.95,4.0,15.1,45.95,137.85000000000002,60.6,-14.65,0.7582508250825083,32.86180631120783,2.757000000000001,"(19.556, 88.72]"
bed1,bed_bath_table,01-11-2017,11,445.85,15.83272727,40.53181818,39,161,2,350,4.0,97,22,8,4,11,2017,30.55555556,3800,89.9,3.9,16.294,40.53181818,4.0,15.83272727,40.53181818,4.0,15.83272727,45.95,445.84999998,56.98787878666667,-16.456060606666668,0.711235775799452,39.06246494960468,4.596391752371134,"(19.556, 88.72]"
bed1,bed_bath_table,01-12-2017,6,239.94,15.23,39.99,39,161,2,350,4.0,41,21,10,1,12,2017,16.66666667,3800,88.48823529,3.9,18.89833333,39.99,4.0,15.23,39.99,4.0,15.23,40.53181818,239.94,56.15607843000001,-16.166078430000006,0.7121223760282436,38.084521130282575,5.85219512195122,"(19.556, 88.72]"
bed1,bed_bath_table,01-01-2018,19,759.81,16.53368421,39.99,39,161,2,350,4.0,62,23,8,2,1,2018,17.75700935,3800,86.9,3.9,19.38352941,39.99,4.0,16.53368421,39.99,4.0,16.53368421,39.99,759.8100000000001,55.62666666666667,-15.63666666666667,0.7188998082454457,41.34454666166542,12.255,"(19.556, 88.72]"
bed1,bed_bath_table,01-02-2018,18,719.82,13.74944444,39.99,39,161,2,350,4.0,62,20,8,2,2,2018,16.82242991,3800,86.9,3.9,19.20909091,39.99,4.0,13.74944444,39.99,4.0,13.74944444,39.99,719.82,55.62666666666667,-15.63666666666667,0.7188998082454457,34.38220665166291,11.61,"(19.556, 88.72]"
